id,p_code,procurement,unit_price,pref_order_qty,unit_meas,mfg_lt,curr_stock
77,NYK582171,M,10.9,227,M,5 days,1134
78,ASI482557,B,382.84,495,M,,8146
79,TNU184720,B,556.31,499,FT,,6392
80,BOQ416998,M,718.44,478,FT,17 days,4319
81,RGJ234275,M,940.64,132,EA,7 days,5675
82,FII270892,B,184.98,16,EA,,7612
83,NTP164074,M,644.29,277,M,30 days,8266
84,BVE940606,B,259.64,124,M,,751
85,DXL534452,B,760.44,101,KG,,5915
86,ACW311087,B,729.9,434,EA,,5785
87,DRL613750,B,434.53,30,KG,,6300
88,CYZ396902,M,363.28,417,KG,14 days,4808
89,DLO855164,B,381.94,251,M,,1418
90,IDZ381238,M,1.4,321,LBS,7 days,3433
91,EPJ240356,B,120.1,96,FT,,3380
92,EAQ482183,B,229.39,206,EA,,9317
93,LUH817641,B,952.91,75,FT,,9456
94,BXL881415,B,747.61,468,M,,6014
95,RNL519616,M,607.5,390,EA,1 days,1721
96,JCW504338,M,28.82,460,FT,13 days,182
97,XYW125621,M,879.58,108,FT,14 days,9626
98,FKR873109,M,594.0,365,M,14 days,7029
99,YXD106343,B,401.65,353,EA,,4671
100,SQG637170,M,310.33,451,KG,1 days,7361
101,WFZ285105,M,674.53,374,KG,21 days,1635
102,ZHC645602,M,460.0,438,FT,11 days,3546
103,WSW279254,B,936.18,185,LBS,,2285
104,VPI748920,M,820.9,483,EA,30 days,3213
105,VMV243064,M,734.4,446,FT,12 days,1760
106,PPX127747,M,909.58,173,LBS,23 days,8573
107,DGT476418,B,235.85,44,LBS,,3798
108,SRK463090,M,131.25,122,KG,12 days,7379
109,NOF905826,B,678.02,468,FT,,3811
110,FHQ942522,B,788.95,321,M,,5763
111,HME544414,M,491.31,62,FT,28 days,9888
112,ATN002130,M,252.92,377,FT,4 days,4603
113,QXM105433,M,803.15,275,FT,27 days,3808
114,GJC430324,M,812.23,124,FT,23 days,5684
115,SMW613198,M,992.68,450,FT,6 days,5932
116,WZT855481,B,370.8,427,EA,,961
117,YBQ151891,M,206.69,471,KG,3 days,4931
118,SKS482161,M,919.59,219,M,1 days,3056
119,ALS434261,B,46.06,391,KG,,902
120,CFV800582,M,770.74,4,M,26 days,5978
121,ROF361727,B,416.8,294,FT,,2883
122,WLQ300098,B,988.14,436,M,,1982
123,CCT197011,B,575.3,351,M,,9883
124,FWF255074,B,20.73,165,EA,,3302
125,JVD372329,M,355.33,237,FT,8 days,808
126,CBZ670168,B,772.43,222,KG,,208
127,ROV459454,B,813.46,78,M,,9541
128,VSV422349,B,188.25,27,FT,,7132
129,UZU578075,M,544.0,340,KG,27 days,3691
130,MQA572817,M,375.43,483,EA,3 days,7893
131,UYJ589799,B,294.61,91,EA,,458
132,BQO325928,M,923.14,346,FT,3 days,6269
133,PRZ770496,M,368.08,257,EA,13 days,6774
134,ISD250423,M,108.69,435,KG,4 days,1487
135,XGR586088,B,947.84,117,M,,660
136,LAI438515,B,259.82,268,FT,,8948
137,AOI633509,M,932.55,184,M,5 days,1991
138,QTV810517,M,63.64,354,KG,10 days,8367
139,IIS233811,B,868.58,329,FT,,2645
140,GWN017331,B,321.92,76,LBS,,625
141,RTW677091,B,616.67,204,KG,,3788
142,HAQ993997,M,943.32,240,EA,28 days,303
143,TGQ018187,M,321.75,452,FT,17 days,7697
144,RLQ129438,B,470.37,245,EA,,1169
145,YBB399693,M,597.92,107,FT,5 days,5415
146,MKU293293,B,265.15,99,EA,,789
147,IEJ155974,B,303.31,173,M,,9832
148,HTF776918,M,663.19,137,EA,11 days,9622
149,OCI749354,B,736.12,6,KG,,9233
150,HTU303821,B,395.65,169,EA,,7243
151,RFP081729,B,245.05,269,EA,,8432
152,SFT950786,M,759.46,481,EA,18 days,508
153,RWZ374560,M,909.7,302,M,16 days,5096
154,KAJ545110,M,70.75,40,FT,14 days,5240
155,KJV173563,M,372.3,96,KG,3 days,6840
156,HBU644116,B,284.07,362,EA,,4967
157,XNV269369,M,587.81,45,FT,16 days,7557
158,FPL232574,B,684.23,111,LBS,,810
159,OJG976354,B,361.19,386,KG,,8504
160,WSD101166,M,240.61,370,KG,10 days,2999
161,FLS819996,B,653.66,88,KG,,2142
162,QCR691311,B,851.77,344,EA,,555
163,USI970219,M,622.61,315,FT,26 days,7608
164,DWS886233,M,158.42,339,M,5 days,1689
165,RFS635615,M,8.35,28,KG,28 days,3306
166,AIF281123,B,824.23,260,LBS,,8317
167,NHT114690,B,190.94,455,EA,,8038
168,NFE804129,M,984.97,338,FT,17 days,4134
169,ETV079835,M,700.37,381,LBS,11 days,4829
170,UAO640102,B,815.52,230,KG,,1453
171,UWM589250,M,182.92,91,KG,30 days,6848
172,WBM457110,B,104.21,418,FT,,2423
173,SMI604169,M,596.64,81,M,18 days,7575
174,GYX581108,B,448.84,236,FT,,6782
175,PAJ802311,M,851.59,71,M,16 days,9431
176,GIJ099758,B,142.21,291,LBS,,4843
177,DBE891604,M,947.14,203,KG,27 days,3680
178,IWG519941,B,880.79,282,M,,2309
179,XML511478,M,304.98,405,M,22 days,3078
180,HFJ759623,B,809.95,45,LBS,,149
181,GGF359571,B,85.3,267,EA,,765
182,XHM514580,M,217.14,492,M,14 days,3566
183,LPW008085,B,121.3,389,EA,,6112
184,ZTE147888,B,925.73,248,FT,,6221
185,VCA178110,B,115.73,385,M,,1804
186,GCX151228,B,529.02,281,FT,,8335
187,NRC581448,M,531.1,68,EA,25 days,920
188,CYD733042,B,982.68,155,FT,,9218
189,DAM161573,M,0.98,340,FT,12 days,3342
190,FVI053755,M,298.51,58,FT,28 days,6526
191,COO785173,B,311.2,64,KG,,2862
192,ONK867557,B,211.47,274,KG,,5286
193,RGJ529242,M,968.89,394,M,3 days,5060
194,QIN841883,B,922.56,217,KG,,4468
195,ZHF535109,B,871.45,381,FT,,2660
196,PNX006434,B,223.76,319,KG,,7076
197,OLW105776,M,873.9,274,KG,29 days,3278
198,PUS207252,M,378.64,425,M,19 days,5827
199,UFT322811,M,291.64,431,EA,3 days,5642
200,AAD556519,B,241.05,334,KG,,2821
201,HBK516754,M,875.41,412,LBS,15 days,1188
202,QZW915672,M,944.89,169,EA,27 days,698
203,PCV812541,M,428.81,491,LBS,9 days,5452
204,RZE543152,B,954.46,194,EA,,940
205,VUW400605,M,688.14,87,KG,16 days,7257
206,QRC417747,B,657.26,291,KG,,5702
207,GDK136622,B,531.7,209,FT,,1882
208,IZL621904,B,575.63,110,LBS,,8057
209,BGH425285,B,9.97,65,FT,,845
210,WGS646198,M,80.15,356,EA,10 days,8519
211,BEM885049,B,519.83,70,KG,,92
212,HIK552188,M,423.94,136,LBS,8 days,580
213,HPW531810,M,815.52,466,LBS,23 days,4685
214,OUV310484,B,884.09,422,EA,,6455
215,NLF493446,B,525.25,492,M,,225
216,EXG329704,M,865.1,242,FT,25 days,7214
217,RVQ414194,M,598.55,165,LBS,29 days,5207
218,NFT213854,M,591.5,268,EA,20 days,4767
219,QQB262176,M,233.06,466,FT,22 days,3166
220,RPW103876,M,920.9,252,LBS,9 days,4408
221,VJU560941,B,368.27,194,LBS,,4025
222,ROG366524,B,399.73,189,KG,,4647
223,EOQ217844,M,385.46,476,LBS,5 days,2791
224,IPO815307,B,20.8,263,LBS,,5441
225,OAH961692,B,810.49,327,KG,,1104
226,RTS544574,B,483.85,455,EA,,5196
227,QSO957806,M,204.01,329,KG,16 days,5088
228,IAE684347,B,28.04,215,LBS,,1833
229,XLY896069,M,757.4,184,M,7 days,6684
230,OLH523569,B,385.14,135,LBS,,8030
231,LJC161410,M,90.78,108,KG,7 days,8231
232,MQJ841881,B,670.1,254,FT,,7753
233,ZOS720017,B,531.2,101,FT,,8832
234,GBL106270,M,677.55,135,LBS,10 days,7252
235,KFT261631,M,567.38,413,EA,30 days,3770
236,HWH700490,M,737.93,211,EA,7 days,3754
237,EXE120652,B,810.43,9,KG,,7232
238,RPK714281,M,755.79,384,M,21 days,1518
239,PHE705498,M,175.21,244,KG,14 days,9044
240,POH466898,B,665.26,196,EA,,1460
241,GAJ516740,M,520.72,490,FT,22 days,3138
242,MQH503665,B,506.65,180,FT,,1358
243,UQY034885,B,875.67,219,FT,,450
244,WGL928312,M,977.63,306,M,17 days,1020
245,MBG611975,B,37.48,242,KG,,4167
246,UBH630655,B,330.47,3,KG,,9760
247,VQG489606,M,408.53,4,FT,27 days,9799
248,KDX774231,B,558.2,279,KG,,9244
249,FST890943,M,479.15,479,FT,22 days,9855
250,RAZ435962,B,316.1,94,M,,2898
251,EWM816205,B,770.32,341,FT,,7302
252,KIV876518,B,740.36,303,M,,1091
253,RFM251717,M,737.79,131,FT,24 days,7450
254,WHV259196,M,435.86,162,M,10 days,2543
255,QWY202214,M,461.25,197,EA,1 days,2669
256,OVR589150,B,52.81,90,EA,,4021
257,KUF825390,B,935.65,119,EA,,780
258,LDQ598954,B,113.63,126,EA,,6228
259,KDA894044,M,144.56,140,KG,15 days,4457
260,PTX785035,B,165.27,260,FT,,3355
261,YPR826065,B,562.47,266,M,,398
262,SBJ562220,B,898.9,90,EA,,9429
263,DHO006811,M,189.55,42,KG,4 days,5405
264,BLJ074024,M,11.47,482,EA,14 days,3773
265,AIV982916,M,899.15,121,EA,7 days,6910
266,QNN719888,M,549.82,475,EA,1 days,8662
267,AJL365107,B,274.8,400,EA,,8583
268,MPY474089,B,659.27,289,FT,,8932
269,ETM588403,B,813.7,172,EA,,2333
270,AVK934868,B,731.57,318,M,,3972
271,SHY891430,B,721.49,308,LBS,,6711
272,ELL610767,M,383.14,161,EA,24 days,8620
273,HCK163746,B,165.36,255,LBS,,6946
274,AKH272448,B,616.76,139,FT,,5633
275,MFP906652,M,915.22,146,LBS,25 days,9656
276,CZR179717,M,739.01,414,FT,26 days,1571
277,SXH076174,M,23.91,77,M,24 days,9425
278,LYE512509,B,151.28,383,FT,,8964
279,CZW220141,B,704.95,214,FT,,3031
280,RPY264951,B,615.11,298,LBS,,1678
281,UDE428096,M,715.11,290,LBS,23 days,5219
282,MFV532388,B,23.03,393,EA,,318
283,MQM294916,M,962.56,47,FT,22 days,7356
284,CAY553424,M,727.71,476,FT,16 days,7608
285,OTZ324582,M,542.38,426,M,30 days,4449
286,JUQ554575,B,399.48,498,M,,8039
287,NFU146883,M,273.1,357,EA,20 days,5627
288,CTM785115,B,702.39,325,FT,,261
289,QAJ976928,B,612.05,374,FT,,1827
290,JVW471771,B,389.46,262,LBS,,7460
291,KFJ464361,M,866.21,378,LBS,18 days,7610
292,EYB912498,M,580.47,283,EA,16 days,7314
293,TIR944168,B,343.67,60,M,,1122
294,MYP439120,M,538.83,234,FT,13 days,9799
295,QNF227071,B,625.02,76,LBS,,6702
296,FHA432426,M,117.65,451,M,12 days,9399
297,PLS048171,B,794.32,4,M,,1966
298,CWJ542701,M,795.56,81,EA,5 days,2528
299,XTX850850,M,381.36,204,LBS,6 days,5848
300,DHS868697,B,862.76,150,FT,,715
301,BPQ926192,B,739.66,262,EA,,8815
302,EKL934786,M,593.8,472,KG,18 days,3887
303,JED644644,B,469.35,327,KG,,4770
304,MGW059269,M,977.22,185,EA,13 days,9692
305,ACE689570,M,424.12,427,M,2 days,9844
306,ZZZ142116,M,649.65,15,EA,1 days,4795
307,KWA186882,M,351.66,400,KG,16 days,7770
308,UOL393817,B,920.88,470,KG,,9555
309,IGJ683177,M,996.25,354,EA,25 days,3736
310,XOX191979,M,547.26,85,EA,7 days,117
311,XIP359604,M,481.13,85,M,6 days,1353
312,IGG189434,B,223.52,180,KG,,5814
313,YAW701010,B,62.98,467,FT,,3995
314,JSD485017,B,925.55,393,KG,,1882
315,DPV963150,B,760.23,322,EA,,6116
316,RYV737826,B,281.14,143,LBS,,4820
317,SOW759250,B,365.58,148,LBS,,7431
318,MNS721933,B,486.23,147,FT,,8641
319,PFA046517,M,40.46,331,LBS,5 days,5210
320,BLT314075,M,654.71,45,FT,3 days,6931
321,YPQ193216,M,878.14,418,EA,11 days,2456
322,FBV337905,B,466.26,299,LBS,,105
323,IBU176287,B,534.89,64,KG,,6014
324,TXG718019,B,877.94,23,KG,,2200
325,NCE806914,M,467.11,197,LBS,8 days,9199
326,DJM584270,B,115.48,302,EA,,8981
327,NYW956643,B,916.58,223,EA,,489
328,UXT994501,B,769.19,91,LBS,,9879
329,JOO831635,M,663.74,15,KG,12 days,5024
330,WLL745881,M,679.19,352,LBS,15 days,2513
331,ASZ143341,M,174.63,134,FT,9 days,7660
332,WSR815997,B,457.01,123,KG,,2779
333,TEV750755,M,806.36,30,KG,15 days,3993
334,KEY158806,B,79.46,112,FT,,4392
335,BOF508469,M,485.94,420,FT,25 days,209
336,AXR983383,M,402.65,5,EA,19 days,2391
337,PTA976114,B,539.55,95,EA,,4437
338,IPO692367,B,689.43,368,EA,,2916
339,IVW832774,M,733.11,498,FT,29 days,9931
340,WMS749154,B,176.72,150,M,,8140
341,UKG981278,M,465.26,392,KG,15 days,5147
342,MNL815681,B,240.21,53,M,,2442
343,RHW288420,M,361.79,307,M,24 days,7026
344,FNL191053,B,613.55,229,FT,,3296
345,HPJ038035,B,965.76,456,FT,,3126
346,OUO956148,B,573.78,15,LBS,,9989
347,HIW867538,B,448.73,270,FT,,8049
348,SSV237216,B,671.82,273,EA,,6685
349,GQU246651,B,109.49,446,KG,,5644
350,LPW313897,B,390.97,497,FT,,2077
351,JVW374616,M,32.62,36,FT,21 days,2333
352,ERJ589528,B,799.83,83,LBS,,7727
353,LUW970900,B,677.45,155,KG,,6631
354,KHC181425,B,289.79,3,EA,,5220
355,MYW849588,M,173.69,336,LBS,3 days,3450
356,PTO769346,M,385.33,383,EA,30 days,8415
357,GOQ004171,B,397.98,105,LBS,,7206
358,WXR395763,M,210.55,116,LBS,18 days,2302
359,DTO413574,B,281.63,438,LBS,,1969
360,ZWW151636,B,548.05,392,M,,8230
361,HFE570103,M,742.74,127,KG,20 days,3338
362,TGW968200,M,720.59,77,LBS,28 days,6926
363,KFR427919,B,353.46,472,LBS,,2660
364,KEH606630,M,546.66,44,EA,11 days,2516
365,PGH232711,B,921.49,436,FT,,6122
366,ESE220510,M,372.57,14,FT,6 days,3151
367,VRC073289,M,806.38,153,EA,29 days,1362
368,CNB755379,M,523.47,241,KG,30 days,8934
369,HVO780289,M,386.09,257,EA,19 days,488
370,WBW534632,B,853.61,398,LBS,,5158
371,HRG496849,B,741.36,355,EA,,4105
372,WNF858591,M,355.47,372,EA,25 days,5280
373,VTR790693,B,928.86,457,M,,4906
374,MGK539382,M,44.77,391,FT,20 days,9579
375,QMK764866,M,263.52,451,LBS,12 days,4342
376,NLT256133,M,323.51,442,EA,13 days,9293
377,GVH269348,M,400.69,399,EA,13 days,7823
378,PGD701952,M,801.03,439,EA,25 days,7522
379,CDK912264,B,845.48,319,KG,,9198
380,ZFU409874,B,262.13,412,EA,,7423
381,QQB082633,B,952.67,465,KG,,6272
382,SHF952518,B,786.33,286,LBS,,2063
383,DLP385719,M,313.73,75,M,4 days,5199
384,PTM005324,M,12.55,388,EA,13 days,4508
385,GOO678066,B,814.0,165,KG,,6966
386,SWH811946,B,750.66,305,KG,,8934
387,ERR197895,B,266.87,150,FT,,5417
388,WYD613048,M,571.04,136,KG,9 days,759
389,IRG646452,B,394.68,161,LBS,,7187
390,JEV604404,B,954.33,100,M,,5174
391,NDX878362,B,924.66,98,KG,,5294
392,AQH627639,B,601.68,27,KG,,5446
393,YUA343228,M,110.5,286,LBS,22 days,103
394,UOL524516,M,953.41,53,M,15 days,8968
395,LNS614600,B,329.81,476,KG,,6097
396,JFY618519,B,62.35,461,KG,,37
397,NOC832974,B,167.27,142,FT,,2182
398,LZC769921,B,718.31,156,LBS,,3564
399,YRG212227,M,181.3,184,KG,22 days,6059
400,XYS174067,B,680.64,342,KG,,3389
401,YMH131386,M,393.61,138,M,17 days,1298
402,JYQ014930,B,15.83,6,KG,,4096
403,SYT001050,B,88.67,416,M,,274
404,BPN319702,B,343.4,256,LBS,,2376
405,MAY942496,B,620.79,142,M,,6029
406,TFX948930,B,565.26,252,EA,,7658
407,NQE745023,B,345.06,486,EA,,3759
408,XZB773474,M,593.28,188,KG,16 days,3231
409,UCP317119,B,179.63,93,FT,,6031
410,PGW033495,B,361.53,131,LBS,,9216
411,RZV370629,B,722.56,271,FT,,1668
412,CCJ123893,B,52.05,189,KG,,3934
413,KCZ166498,M,194.89,413,EA,8 days,9305
414,BWH355916,M,462.56,16,FT,16 days,9300
415,IUZ788256,B,363.06,177,LBS,,6222
416,JAE499949,M,721.76,345,KG,1 days,7388
417,STE173583,B,719.22,353,EA,,4204
418,XGF611835,M,421.46,475,LBS,17 days,3599
419,DQQ718683,B,592.95,279,M,,5277
420,TNV082985,B,164.33,307,KG,,5087
421,HUR144443,B,482.15,166,LBS,,7594
422,ZYX533953,B,261.31,204,FT,,2036
423,CGR191255,M,762.85,491,LBS,29 days,8965
424,FUP869378,M,372.86,197,FT,30 days,2224
425,UAD159850,B,1.97,2,KG,,4280
426,DLA877317,B,200.28,159,EA,,816
427,DHB477898,B,719.3,482,FT,,691
428,DKL322582,B,126.76,492,FT,,4880
429,GQD213607,M,362.01,4,LBS,13 days,7302
430,WGM739588,M,694.99,90,M,13 days,3158
431,XCS257651,B,316.13,79,EA,,3284
432,AJR518355,B,292.37,470,LBS,,8775
433,NCB954464,M,212.37,296,LBS,13 days,2255
434,XIW691315,B,555.14,126,LBS,,8359
435,NFY688959,M,314.99,386,EA,7 days,8830
436,QDY490344,M,61.92,335,EA,1 days,8922
437,WDV264073,M,709.79,74,FT,24 days,2490
438,BDY379161,B,840.32,27,EA,,8767
439,RTS789611,M,725.27,174,EA,28 days,867
440,SCC782810,M,466.42,115,KG,28 days,3144
441,RXB269423,B,204.03,500,EA,,328
442,DUP502184,M,84.49,121,EA,12 days,8522
443,EKH168799,M,334.84,225,EA,25 days,4911
444,IIE066120,M,331.3,253,M,12 days,2782
445,SQE453415,B,454.92,478,LBS,,9737
446,IUW873193,B,324.51,367,FT,,1787
447,HMS935498,B,621.47,232,FT,,9223
448,LQX633208,B,167.2,152,EA,,3821
449,TNX867960,B,297.01,181,KG,,1853
450,EQW014390,M,680.39,436,M,21 days,5714
451,PUV669534,M,877.14,75,FT,25 days,1989
452,WDA733055,B,632.83,366,M,,2161
453,JJE664336,M,668.21,45,LBS,25 days,2078
454,IZX973575,B,822.97,368,EA,,3651
455,WDA616602,B,227.8,401,FT,,9477
456,WBJ635743,M,460.64,456,EA,13 days,7585
457,RMB495744,M,917.81,95,EA,5 days,9899
458,ZBK077815,M,126.77,427,FT,14 days,361
459,NMI618048,M,404.17,161,FT,22 days,5422
460,JMX156939,M,532.85,393,M,15 days,8035
461,OHV923566,B,999.47,169,M,,6984
462,PKT989507,B,144.77,258,KG,,6491
463,HFC382646,B,331.85,206,EA,,5779
464,FHN683749,B,47.0,415,EA,,9650
465,OJC749382,B,252.15,322,FT,,2989
466,YGK332767,M,743.93,145,KG,29 days,73
467,KNS905720,B,109.77,112,EA,,6480
468,NWN121428,M,733.69,43,EA,1 days,9697
469,PIS110258,M,516.36,398,FT,7 days,8463
470,XAT882145,M,819.98,309,KG,3 days,9812
471,OPT831491,B,285.49,249,M,,1891
472,WFS071750,B,368.55,413,EA,,8914
473,WKG254724,B,406.63,324,EA,,6284
474,LSH394172,M,481.75,295,KG,8 days,3199
475,BXB062371,B,837.48,24,KG,,3476
476,MCU518644,M,121.5,473,LBS,11 days,6053
477,QJJ845078,B,869.71,178,FT,,1130
478,QCP935996,B,936.06,211,LBS,,8033
479,ROS938510,B,4.57,330,KG,,8534
480,RMA799830,B,527.56,326,FT,,2702
481,VCT559273,B,112.6,195,M,,6914
482,RBQ679116,B,759.49,174,KG,,1473
483,TKO715933,B,641.85,266,KG,,2846
484,YZN984143,B,617.53,31,KG,,4808
485,FAY473536,M,108.68,425,M,13 days,9660
486,GGX771403,B,157.73,126,EA,,9615
487,XRY620975,M,295.73,166,FT,11 days,4206
488,XWH841359,B,810.77,231,KG,,1694
489,INX110289,B,202.15,270,M,,6265
490,XFZ998366,M,665.71,125,EA,22 days,5042
491,SNY744287,B,369.18,142,M,,92
492,YBG787167,B,886.54,159,FT,,8601
493,BAK641425,B,244.7,469,LBS,,710
494,GBL417322,B,505.59,134,EA,,608
495,PFY927531,B,716.08,476,M,,4697
496,RNW137746,B,182.57,118,FT,,7568
497,YOP473721,B,500.55,192,EA,,1693
498,WFR344840,B,630.41,224,LBS,,8007
499,GZG311823,M,127.87,225,EA,17 days,1468
500,QYK434519,M,826.06,20,FT,16 days,1805
501,GVV701057,M,797.19,298,KG,1 days,4416
502,SNQ214820,M,774.64,6,EA,10 days,4527
503,WHF954927,M,166.66,373,M,23 days,8810
504,EWK591718,B,723.36,189,EA,,4191
505,LUX894386,B,790.72,56,M,,2849
506,REJ474357,B,212.94,238,FT,,4878
507,RZS808053,B,102.03,443,KG,,3572
508,FSB920066,B,436.6,230,LBS,,7234
509,KYT805027,B,861.85,477,LBS,,1288
510,FSD251329,M,260.3,122,LBS,1 days,5998
511,YGA195258,M,445.74,395,EA,29 days,9905
512,TLN128900,M,152.02,116,LBS,11 days,8511
513,WHS689879,B,716.22,440,LBS,,983
514,RBZ566780,B,781.32,191,LBS,,9027
515,USH318848,M,861.84,410,M,24 days,791
516,AJX475056,B,301.45,196,EA,,9636
517,DSU180619,M,698.18,25,M,12 days,3753
518,OPR419180,M,198.3,432,LBS,10 days,5939
519,RHD774381,B,370.82,336,EA,,3621
520,AGP678804,M,58.0,159,LBS,23 days,2185
521,CRC532708,B,226.74,389,FT,,4389
522,UNG555440,M,188.19,440,EA,2 days,3718
523,YNK209603,M,159.37,310,LBS,2 days,1672
524,NRV591223,B,750.39,435,LBS,,863
525,KXK926053,B,397.87,234,EA,,1731
526,UET008323,B,923.78,480,LBS,,5055
527,VSH794734,M,687.28,176,LBS,13 days,6856
528,YMV200755,M,87.51,228,KG,2 days,1651
529,GWD592357,B,973.22,211,LBS,,6189
530,LWO860587,M,730.03,345,LBS,20 days,7904
531,EEY994326,B,923.88,255,LBS,,2073
532,GOO679668,M,276.51,3,EA,27 days,1430
533,BWG637350,M,869.02,95,EA,7 days,1581
534,DBF811503,B,449.45,211,M,,8736
535,VLR770149,B,21.63,35,EA,,3591
536,TSK330060,M,222.83,481,LBS,22 days,1456
537,BIP735431,M,696.48,179,FT,17 days,6841
538,IDV664181,B,101.57,323,LBS,,79
539,XHG740943,M,65.51,108,LBS,9 days,1218
540,BEX102174,M,352.19,464,KG,22 days,9999
541,OBP330866,B,512.21,133,EA,,3455
542,OGZ977772,B,176.84,87,FT,,7497
543,UDN685089,B,240.48,264,KG,,368
544,RNF574335,M,643.39,216,KG,21 days,5063
545,QPB762635,M,310.83,146,LBS,7 days,8968
546,HCA482714,B,123.13,219,LBS,,908
547,VKG305213,B,545.52,296,EA,,9969
548,JRK572868,B,944.17,94,KG,,8023
549,IFF874544,M,911.35,60,EA,14 days,3239
550,GUN780176,B,534.53,470,M,,4594
551,HLN880377,B,376.3,429,KG,,4452
552,PRY025989,B,43.24,352,EA,,2980
553,DWX665529,B,847.59,242,M,,4253
554,HDF999210,M,880.07,148,FT,19 days,6101
555,YWR952326,M,139.41,261,FT,9 days,2827
556,CCV522334,M,412.36,402,KG,10 days,4701
557,JKV112384,B,337.11,460,FT,,8278
558,UQA004817,M,680.94,306,M,28 days,8514
559,MKO250877,B,18.55,414,KG,,9904
560,FIS284463,M,851.73,201,EA,10 days,2723
561,UUF257434,M,40.52,257,M,10 days,9759
562,IYM716352,B,744.55,39,M,,8757
563,HAB558853,B,681.54,26,EA,,6370
564,IYB261036,M,545.92,324,LBS,23 days,5580
565,XUN866045,B,98.82,61,FT,,1184
566,ZCL052683,B,829.99,431,KG,,8177
567,RED244525,M,633.15,180,LBS,12 days,9829
568,NGU482556,M,829.87,184,FT,24 days,1892
569,JYA492219,B,602.72,113,KG,,5907
570,WCM826212,M,527.31,136,FT,1 days,8588
