order_no,line_no,order_stat,part,qty,unit_price,due,line_cls
SO-3807929,2,X,3379,3,1323.88,2025-06-06 00:28:04.215836,
SO-3807929,3,X,7227,16,277.34,2025-04-14 05:37:38.278009,
SO-3807929,4,O,5357,30,523.02,2025-04-11 00:24:33.108426,
SO-3807929,5,C,7551,45,1197.55,2025-05-14 02:25:14.698649,2025-06-12 18:53:06.472188
SO-5868124,1,O,8472,9,870.62,2023-07-30 19:02:18.183581,
SO-9962449,1,C,2548,45,890.11,2025-01-09 18:46:27.485581,2025-01-31 05:17:01.638613
SO-9962449,2,O,7282,40,766.59,2024-11-04 00:51:07.170212,
SO-1627368,1,O,1529,27,675.13,2023-11-08 13:28:44.028403,
SO-1627368,2,X,8476,26,901.49,2023-10-27 08:21:11.542205,
SO-1627368,3,X,5803,7,1454.4,2023-11-12 21:57:25.698505,
SO-1627368,4,O,9540,13,953.51,2023-11-04 04:39:09.289961,
SO-1627368,5,O,6942,48,1353.49,2023-10-20 18:10:08.638573,
SO-1627368,6,O,139,44,1223.61,2023-10-30 18:37:06.399783,
SO-4366989,1,C,6921,40,1186.27,2023-06-16 21:24:52.127756,2023-07-16 20:46:15.752432
SO-4366989,2,O,4147,23,759.4,2023-06-05 17:39:39.239534,
SO-2895808,1,X,4786,12,1186.19,2024-11-01 21:16:38.906224,
SO-4261573,1,C,6255,40,305.83,2023-10-30 09:36:03.784980,2023-11-07 00:01:45.556342
SO-4261573,2,X,28,43,1484.14,2023-10-01 07:30:15.272210,
SO-4261573,3,C,2417,26,578.85,2023-09-13 11:05:00.384900,2023-09-28 23:42:19.429524
SO-4261573,4,O,5941,32,1396.68,2023-08-09 12:21:54.880517,
SO-4261573,5,X,7664,48,1095.8,2023-10-26 23:15:18.472909,
SO-4261573,6,O,8135,11,173.96,2023-08-12 08:29:01.600319,
SO-4850764,1,X,5413,12,209.43,2024-10-04 01:28:19.391247,
SO-7108716,1,X,9012,6,818.29,2023-07-08 18:59:22.004314,
SO-7108716,2,X,5981,35,216.36,2023-06-08 15:15:09.656571,
SO-9969045,1,O,2904,14,92.12,2023-07-02 21:08:28.971183,
SO-4782794,1,C,7916,32,436.91,2024-10-20 04:49:21.625174,2024-11-08 07:24:16.450644
SO-4782794,2,O,8018,1,888.98,2024-09-25 11:18:26.600686,
SO-4782794,3,O,1303,25,270.08,2024-09-07 02:51:27.516898,
SO-4782794,4,C,5451,37,149.82,2024-09-29 08:45:36.771390,2024-10-05 16:33:55.519782
SO-4782794,5,X,3027,10,381.21,2024-08-27 09:39:47.990147,
SO-4782794,6,X,1299,17,1310.57,2024-08-24 15:20:46.676798,
SO-3735168,1,X,9618,22,150.22,2024-10-05 22:52:48.777604,
SO-3735168,2,X,9254,24,709.75,2024-11-02 11:39:40.594052,
SO-3735168,3,X,2141,30,269.64,2024-11-10 12:16:55.893886,
SO-9900962,1,C,1866,11,225.87,2024-11-17 03:27:52.560359,2024-11-30 23:29:47.545502
SO-9900962,2,C,2369,44,569.92,2024-12-16 11:50:29.521413,2025-01-02 04:16:13.127119
SO-9900962,3,O,6296,47,684.95,2024-12-14 11:21:40.236605,
SO-3861739,1,C,2429,22,1140.54,2024-04-28 08:36:24.782403,2024-04-30 09:38:19.854839
SO-3861739,2,O,7591,23,1298.09,2024-04-10 21:52:40.136938,
SO-2780490,1,X,6945,34,794.18,2024-08-21 10:13:02.802540,
SO-2780490,2,C,8103,20,1436.71,2024-08-31 16:48:57.283108,2024-09-11 20:40:33.388214
SO-2780490,3,O,4325,25,884.69,2024-08-16 05:58:57.373309,
SO-2780490,4,O,614,37,149.4,2024-08-28 03:09:47.596123,
SO-2397526,1,O,3293,2,699.79,2023-07-27 12:41:38.375359,
SO-2397526,2,O,8247,8,2.96,2023-07-20 19:40:26.855036,
SO-2397526,3,O,7319,45,601.32,2023-07-28 10:54:15.257084,
SO-6525295,1,C,8455,33,638.04,2025-04-19 03:11:38.197053,2025-05-14 12:48:43.952029
SO-2160313,1,C,5529,8,1343.27,2024-02-07 15:03:49.957740,2024-02-10 22:30:26.627083
SO-4260288,1,C,3584,7,494.54,2023-11-25 13:31:28.849556,2023-12-08 00:47:50.930323
SO-4260288,2,O,3593,47,1146.06,2023-11-19 23:49:48.733379,
SO-2150772,1,O,8292,45,645.08,2024-03-08 03:40:14.059926,
SO-2150772,2,O,9645,21,1354.25,2024-02-10 13:34:12.290975,
SO-2150772,3,O,2874,12,650.81,2024-02-10 08:02:28.561738,
SO-3390520,1,X,222,25,991.39,2024-06-26 11:21:23.533241,
SO-1662214,1,C,8323,36,1064.14,2025-04-15 21:37:29.412284,2025-04-25 19:27:30.251657
SO-1662214,2,O,6037,21,1267.27,2025-03-18 20:50:34.244666,
SO-1662214,3,X,5214,19,371.07,2025-04-11 23:49:09.529246,
SO-1662214,4,O,4636,39,1487.47,2025-03-01 16:24:21.401136,
SO-1662214,5,O,757,40,796.16,2025-03-17 02:16:00.436165,
SO-9509794,1,X,8914,22,869.96,2023-09-10 10:53:15.046257,
SO-7223836,1,C,3676,1,846.34,2023-12-27 17:30:08.760841,2024-01-17 07:53:26.284339
SO-7223836,2,X,6801,41,405.7,2024-02-29 00:12:16.680964,
SO-7223836,3,C,8015,42,443.5,2024-01-08 00:11:40.714768,2024-01-30 19:42:24.727133
SO-7223836,4,X,9263,40,461.79,2024-02-14 21:27:49.695205,
SO-2836132,1,C,8025,31,465.97,2023-11-22 10:59:57.249392,2023-11-23 03:13:42.058602
SO-3690613,1,X,7338,37,1257.03,2025-02-07 06:54:39.717383,
SO-3690613,2,X,3192,45,734.28,2025-02-09 17:30:11.872601,
SO-3690613,3,C,646,41,1366.72,2025-02-28 23:38:55.758512,2025-03-25 04:05:15.674204
SO-6220834,1,C,8087,50,1216.81,2024-07-31 00:10:29.967027,2024-08-12 21:34:39.451840
SO-6220834,2,C,4263,39,1122.46,2024-07-23 22:38:23.738638,2024-07-29 05:29:25.475023
SO-6220834,3,X,2659,47,171.24,2024-07-27 19:35:53.393046,
SO-1457299,1,C,4423,26,1310.93,2025-05-12 03:05:41.142771,2025-05-26 05:41:09.260226
SO-1457299,2,C,1906,9,1327.42,2025-05-01 13:59:50.610644,2025-05-17 18:17:38.457180
SO-1457299,3,C,6886,47,214.46,2025-05-03 18:35:35.026649,2025-05-20 09:26:03.135947
SO-1457299,4,X,8147,4,638.04,2025-06-10 06:50:17.597255,
SO-8555603,1,X,3357,34,615.89,2024-03-11 20:18:41.098073,
SO-8808567,1,O,6027,40,159.11,2024-09-05 05:28:45.843929,
SO-8808567,2,C,6863,10,469.91,2024-07-27 21:30:00.058028,2024-07-29 22:51:30.817994
SO-8808567,3,C,8645,15,891.97,2024-08-22 01:31:52.609523,2024-08-24 11:28:16.320108
SO-8808567,4,O,4680,31,569.2,2024-08-07 03:32:20.334322,
SO-8808567,5,O,2385,20,21.02,2024-09-15 23:47:42.205191,
SO-8808567,6,X,3475,14,903.33,2024-08-29 18:08:33.049630,
SO-0754755,1,C,4740,18,254.94,2023-10-04 06:55:32.197934,2023-10-14 01:30:33.768012
SO-0754755,2,X,5942,36,54.75,2023-10-20 16:24:12.682169,
SO-7577049,1,X,9047,27,1130.87,2024-07-22 04:11:43.040382,
SO-6667079,1,C,166,28,320.27,2024-05-13 00:28:20.715832,2024-06-02 09:45:51.570528
SO-6667079,2,O,4149,24,1119.83,2024-05-30 23:10:27.889475,
SO-6667079,3,X,1336,11,1089.52,2024-06-05 20:21:13.956283,
SO-6667079,4,C,9259,50,468.53,2024-06-22 04:40:13.535878,2024-06-30 11:36:29.994319
SO-6667079,5,O,4757,11,1401.04,2024-07-19 03:52:59.326853,
SO-9829000,1,X,839,24,1119.27,2025-05-10 11:09:20.335624,
SO-1122201,1,C,653,45,188.81,2025-01-29 11:55:32.257056,2025-02-19 16:50:43.483409
SO-5631161,1,C,717,29,926.31,2023-06-04 07:38:52.834635,2023-07-01 21:20:17.149756
SO-5631161,2,X,658,3,930.8,2023-06-19 11:11:56.457320,
SO-4475003,1,X,4337,38,1243.57,2025-04-11 03:29:46.929376,
SO-4475003,2,O,4236,9,286.84,2025-05-22 17:59:53.449128,
SO-4475003,3,C,4007,15,623.05,2025-04-01 02:48:24.285395,2025-04-26 09:19:30.983374
SO-0450253,1,C,5257,7,1458.34,2024-06-13 08:59:15.226026,2024-06-15 15:43:01.827010
SO-0450253,2,C,2122,13,320.71,2024-04-14 23:29:59.061277,2024-04-18 06:25:29.403379
SO-0450253,3,C,6972,25,436.14,2024-04-13 20:57:17.013371,2024-04-22 06:48:05.793605
SO-0450253,4,O,8299,49,679.07,2024-05-22 00:43:32.866597,
SO-1611783,1,O,8622,3,668.92,2024-10-10 03:39:43.100869,
SO-1611783,2,O,2749,50,1164.66,2024-10-27 02:00:24.425763,
SO-1611783,3,C,7402,47,346.71,2024-11-11 20:19:15.476633,2024-12-09 07:02:20.912057
SO-1611783,4,X,3721,8,1390.56,2024-12-12 07:56:01.943775,
SO-0371924,1,O,5903,4,176.58,2024-08-12 14:35:29.187309,
SO-0371924,2,O,692,29,757.33,2024-07-22 07:21:27.099759,
SO-8979157,1,X,3836,34,971.24,2024-01-07 01:04:52.521374,
SO-8979157,2,O,8940,22,862.66,2024-02-15 20:45:50.723015,
SO-8979157,3,C,8320,13,660.96,2023-12-24 11:57:22.673000,2023-12-29 10:02:47.577619
SO-1416604,1,O,5544,6,1022.56,2024-12-15 17:36:15.554836,
SO-1416604,2,C,4440,36,979.42,2024-12-31 22:34:52.300819,2025-01-06 03:01:50.352875
SO-1416604,3,O,6193,35,354.54,2024-10-24 09:08:58.080131,
SO-2476524,1,C,6660,22,298.47,2024-01-05 17:23:02.653939,2024-01-31 10:02:18.582554
SO-2476524,2,O,3601,46,1481.72,2024-01-12 09:49:40.364926,
SO-2476524,3,O,2697,42,309.95,2024-02-22 20:29:00.344865,
SO-2476524,4,O,9196,2,308.69,2024-02-16 22:58:54.282184,
SO-3602760,1,X,4401,11,670.63,2024-12-08 01:03:40.350776,
SO-0629830,1,C,9382,27,16.0,2023-11-17 10:22:06.852520,2023-12-05 23:20:16.175085
SO-0629830,2,C,1141,17,265.27,2023-12-11 15:50:15.968958,2024-01-05 07:05:23.944340
SO-3831290,1,X,7020,26,1298.31,2023-09-27 17:48:03.982584,
SO-3831290,2,O,1715,23,886.98,2023-10-14 00:04:28.443136,
SO-5709233,1,O,6669,49,163.79,2023-07-16 06:48:36.924414,
SO-5212365,1,C,9815,4,195.9,2025-02-26 11:14:37.107845,2025-03-17 04:54:10.246067
SO-5212365,2,O,5940,28,1476.34,2025-01-11 08:53:28.433086,
SO-5212365,3,X,4591,26,1068.34,2025-01-21 18:27:50.528835,
SO-5212365,4,O,8125,42,629.42,2025-01-30 07:40:58.515541,
SO-5272651,1,O,6540,12,817.7,2023-12-05 05:34:40.893953,
SO-5272651,2,O,3993,37,370.9,2023-11-27 11:32:04.745903,
SO-5272651,3,C,440,46,1074.94,2023-12-02 13:56:00.966232,2023-12-08 22:38:07.635216
SO-5272651,4,X,9045,19,566.9,2023-10-18 19:08:26.692695,
SO-6119988,1,C,6621,33,1437.07,2023-11-17 04:25:42.402261,2023-11-18 04:20:20.609467
SO-6119988,2,X,8649,14,28.94,2023-10-22 18:44:43.203117,
SO-6119988,3,C,6107,40,1293.29,2023-11-20 05:51:08.016694,2023-12-15 15:26:02.549596
SO-6119988,4,X,9277,20,603.62,2023-10-13 20:23:40.969115,
SO-6119988,5,O,6596,5,578.5,2023-12-04 09:38:56.366306,
SO-2173606,1,O,4809,18,30.06,2025-01-14 10:39:43.850858,
SO-2173606,2,X,4530,33,130.69,2025-01-09 00:20:21.453819,
SO-2173606,3,C,1837,7,767.09,2025-01-22 17:50:15.793212,2025-02-06 16:34:50.332410
SO-6872213,1,O,1793,16,501.26,2025-03-30 00:20:50.899340,
SO-6872213,2,X,7915,49,949.53,2025-02-10 07:21:31.968956,
SO-6872213,3,X,7036,25,138.06,2025-02-06 22:20:12.611569,
SO-6872213,4,C,6087,15,347.09,2025-01-25 00:29:40.409036,2025-02-01 06:55:23.919668
SO-6872213,5,C,9770,38,690.64,2025-01-23 22:43:35.161664,2025-02-02 12:17:55.475990
SO-6872213,6,O,8687,11,237.24,2025-04-11 16:10:28.536134,
SO-7032482,1,C,388,34,496.78,2023-09-05 09:47:11.511255,2023-10-03 22:04:38.739166
SO-7032482,2,O,2017,35,264.25,2023-09-01 00:56:21.953354,
SO-7032482,3,C,9441,22,594.91,2023-09-28 08:30:21.755518,2023-10-17 08:08:44.057411
SO-7032482,4,C,4251,13,1484.13,2023-09-04 06:58:14.131417,2023-09-25 09:28:47.868016
SO-7032482,5,X,203,26,1098.62,2023-10-06 20:38:12.117411,
SO-6773514,1,O,8566,46,215.47,2023-09-22 01:11:28.965824,
SO-6773514,2,X,536,29,69.82,2023-09-08 11:49:33.370532,
SO-6773514,3,O,6450,33,624.35,2023-09-26 14:38:21.625098,
SO-8419076,1,O,4498,19,968.28,2024-03-31 12:34:16.608102,
SO-8419076,2,X,3836,31,905.27,2024-04-27 22:29:49.906605,
SO-8419076,3,C,2200,7,1339.36,2024-02-06 05:53:57.863673,2024-02-21 11:05:43.360848
SO-8419076,4,X,28,6,530.86,2024-03-17 08:56:58.241342,
SO-8419076,5,X,2822,44,422.91,2024-02-22 04:42:36.323566,
SO-0975019,1,O,8332,12,1317.15,2025-06-07 10:39:33.707963,
SO-0975019,2,O,7200,15,1050.19,2025-03-25 18:16:08.107186,
SO-0975019,3,C,3439,32,863.94,2025-03-29 18:16:07.799981,2025-04-08 05:53:48.908178
SO-7363661,1,X,6511,4,1284.23,2023-07-13 01:35:46.683199,
SO-7363661,2,C,5152,20,1481.08,2023-08-17 01:07:51.846431,2023-09-07 19:07:12.301274
SO-7363661,3,X,5290,14,990.74,2023-08-16 01:28:28.737630,
SO-5187735,1,C,9986,28,1224.77,2023-09-29 19:45:56.833059,2023-10-04 21:37:21.975626
SO-5187735,2,O,9324,13,1110.97,2023-11-24 20:04:14.712899,
SO-5187735,3,O,5172,10,533.18,2023-10-01 01:54:46.448201,
SO-5187735,4,O,5577,11,425.94,2023-11-12 19:40:46.261287,
SO-5187735,5,X,4622,20,1368.91,2023-09-22 23:07:54.497110,
SO-5187735,6,C,7476,22,843.87,2023-11-23 00:01:55.992391,2023-12-07 19:45:36.213819
SO-7443217,1,C,5561,38,1011.34,2023-08-22 13:53:01.611148,2023-08-24 01:28:05.094363
SO-7443217,2,C,4258,22,993.03,2023-08-20 17:55:51.244691,2023-08-27 00:59:57.901229
SO-7443217,3,O,8277,28,906.21,2023-08-21 22:15:12.285343,
SO-7443217,4,O,5186,3,209.21,2023-09-10 13:33:26.654376,
SO-7443217,5,X,2890,47,1348.39,2023-06-29 07:06:25.624675,
SO-1792351,1,C,9154,50,55.58,2025-03-17 01:59:07.424846,2025-03-24 05:25:33.816826
SO-0974481,1,O,3169,14,1276.9,2024-11-17 04:09:26.541253,
SO-0974481,2,O,4975,23,1414.36,2024-12-07 20:42:43.290583,
SO-0974481,3,O,7142,23,39.0,2024-11-15 07:19:26.520254,
SO-0974481,4,C,6374,43,52.17,2024-11-26 04:00:10.131682,2024-12-21 00:46:00.461016
SO-0974481,5,C,5752,1,1091.89,2024-11-19 16:22:08.155885,2024-12-10 19:40:05.923536
SO-0974481,6,O,8039,39,248.55,2024-12-25 05:40:48.942700,
SO-8125203,1,O,7917,45,1034.48,2024-03-04 17:07:56.994780,
SO-8125203,2,O,5792,33,617.16,2024-04-27 03:14:47.133337,
SO-8125203,3,C,509,19,1146.83,2024-04-09 23:27:17.304709,2024-05-02 10:15:42.471745
SO-3890820,1,X,6661,41,359.68,2024-01-26 00:17:35.260888,
SO-3890820,2,O,2920,25,174.48,2023-12-08 21:44:50.657318,
SO-4220632,1,X,2114,10,50.68,2025-02-02 14:04:18.340871,
SO-4220632,2,O,8586,41,10.05,2025-01-28 10:02:36.356120,
SO-4220632,3,O,4712,28,667.64,2025-01-10 04:31:57.011298,
SO-4220632,4,O,4510,4,197.68,2025-01-23 11:38:45.298313,
SO-4220632,5,C,1725,14,1338.01,2025-03-12 11:47:56.042013,2025-04-03 23:38:06.979738
SO-4220632,6,X,5918,43,20.07,2024-12-15 00:12:04.971937,
SO-9331132,1,X,9880,6,202.6,2025-01-10 02:32:29.950006,
SO-9331132,2,O,6241,26,1005.57,2025-02-04 07:10:23.713951,
SO-9331132,3,O,9541,2,105.33,2024-12-05 22:09:38.527539,
SO-9331132,4,C,7476,42,303.01,2024-12-17 00:55:11.154691,2025-01-14 10:34:11.159813
SO-9331132,5,C,1487,43,38.53,2025-01-13 03:05:16.814248,2025-01-31 01:59:26.804654
SO-9331132,6,C,2879,48,302.09,2025-01-21 13:48:38.542687,2025-01-27 11:23:18.280822
SO-6011309,1,X,5419,34,1493.79,2023-11-20 23:22:53.217100,
SO-2445368,1,C,9957,36,200.58,2023-06-28 10:01:50.410582,2023-07-10 22:52:05.309782
SO-2445368,2,O,6430,18,438.96,2023-06-07 16:24:53.775725,
SO-2445368,3,X,3671,30,9.92,2023-07-25 12:22:16.548842,
SO-1499800,1,C,2409,29,1235.52,2024-04-24 22:11:56.239605,2024-05-23 11:04:16.653381
SO-0739058,1,C,9127,46,37.64,2025-05-03 07:55:44.590461,2025-05-18 23:27:58.266567
SO-0739058,2,X,3558,40,498.01,2025-07-11 22:32:28.936802,
SO-0739058,3,C,7127,22,394.88,2025-05-31 20:59:36.469550,2025-06-27 07:12:25.939967
SO-0739058,4,X,1878,2,1029.16,2025-06-18 19:08:59.202201,
SO-0739058,5,C,2098,43,596.61,2025-06-02 01:52:44.416694,2025-06-07 12:30:49.304427
SO-1073956,1,X,2084,23,309.23,2025-01-02 15:13:05.763926,
SO-0280666,1,C,8371,14,1022.32,2024-08-03 11:13:06.682315,2024-08-27 17:58:50.987003
SO-2868538,1,C,1440,12,227.28,2025-01-08 17:50:15.730035,2025-01-29 07:57:05.390985
SO-2868538,2,O,5776,31,1005.06,2024-12-09 17:16:00.448666,
SO-5988203,1,C,2733,44,497.33,2025-04-06 01:20:06.350842,2025-04-11 04:48:21.426783
SO-5988203,2,C,5963,9,1419.56,2025-02-15 10:49:16.244862,2025-03-16 15:22:53.323209
